key,value
tab8_lin3_col1,BANCO DO BRASIL
tab8_lin3_col2,"12072915,862"
tab8_lin3_col3,0
tab8_lin3_col4,"64876,4206"
tab8_lin3_col5,"12137792,2826"
tab8_lin3_col6,"12,7870621306"
tab8_lin4_col0,    
tab8_lin4_col1,BANCO ITAU
tab8_lin4_col2,"11645921,4446"
tab8_lin4_col3,0
tab8_lin4_col4,"-24145,2346595"
tab8_lin4_col5,"11617957,1499"
tab8_lin4_col6,"12,2394201878"
tab8_lin5_col0,    
tab8_lin5_col1,XP INVESTIMENTOS
tab8_lin5_col2,"2145958,62704"
tab8_lin5_col3,"-330,89"
tab8_lin5_col4,"-12730,5763082"
tab8_lin5_col5,"2132897,15871"
tab8_lin5_col6,"2,246989226"
tab9_lin0_col0, 
tab9_lin0_col1,Ativo
tab9_lin0_col2,Saldo Bruto 30/08/24
tab9_lin0_col3,Movimentação
tab9_lin0_col4,Rendimento Bruto
tab9_lin0_col5,Saldo Bruto 19/09/24
tab9_lin0_col6,%
tab9_lin0_col7,Provisão de IR+IOF
tab9_lin0_col8,Saldo Líquido 19/09/24
tab9_lin0_col9,Liquidez
tab9_lin1_col0,    
tab9_lin1_col1,Ações/ETFs
tab9_lin1_col2,"4299821,4"
tab9_lin1_col3,0
tab9_lin1_col4,"-140486,64"
tab9_lin1_col5,"4155515,7"
tab9_lin1_col6,"4,3778008555"
tab9_lin1_col7,"5412,732"
tab9_lin1_col8,"4150102,968"
tab9_lin1_col9,
tab9_lin2_col0,    
tab9_lin2_col1,HFOF11
tab9_lin2_col2,"420702,8"
tab9_lin2_col3,0
tab9_lin2_col4,"-3455,3400000000"
tab9_lin2_col5,"413428,4"
tab9_lin2_col6,"0,4355433438"
tab9_lin2_col7,0
tab9_lin2_col8,"413428,4"
tab9_lin2_col9,D+2
tab9_lin3_col0,    
tab9_lin3_col1,IVVB11
tab9_lin3_col2,"2896995,4"
tab9_lin3_col3,0
tab9_lin3_col4,"-72088,1200000000"
tab9_lin3_col5,"2824907,28"
tab9_lin3_col6,"2,9760160712"
tab9_lin3_col7,"5412,732"
tab9_lin3_col8,"2819494,548"
tab9_lin3_col9,D+2
tab9_lin4_col0,    
tab9_lin4_col1,MGLU3
tab9_lin4_col2,316160
tab9_lin4_col3,0
tab9_lin4_col4,"-26000,0000000000"
tab9_lin4_col5,290160
tab9_lin4_col6,"0,3056811207"
tab9_lin4_col7,0
tab9_lin4_col8,290160
tab9_lin4_col9,D+2
tab9_lin5_col0,    
tab9_lin5_col1,PICE11
tab9_lin5_col2,"250343,6"
tab9_lin5_col3,0
tab9_lin5_col4,"-17331,4800000000"
tab9_lin5_col5,"233012,12"
tab9_lin5_col6,"0,2454763095"
tab9_lin5_col7,0
tab9_lin5_col8,"233012,12"
tab9_lin5_col9,D+2
tab9_lin6_col0,    
tab9_lin6_col1,VIGT11
tab9_lin6_col2,"415619,6"
tab9_lin6_col3,0
tab9_lin6_col4,"-21611,7000000000"
tab9_lin6_col5,"394007,9"
tab9_lin6_col6,"0,4150840103"
tab9_lin6_col7,0
tab9_lin6_col8,"394007,9"
tab9_lin6_col9,D+2
tab9_lin7_col0,    
tab9_lin7_col1,CRI/CRA
tab9_lin7_col2,"1033205,72989"
tab9_lin7_col3,0
tab9_lin7_col4,"3033,48383"
tab9_lin7_col5,"1036239,21372"
tab9_lin7_col6,"1,0916693002"
tab9_lin7_col7,0
tab9_lin7_col8,"1036239,21372"
tab9_lin7_col9,
tab9_lin8_col0,    
tab9_lin8_col1,"CRI REDE DOR IPCA + 6,25% Venc: 15/12/2036"
tab9_lin8_col2,"1033205,72989"
tab9_lin8_col3,0
